Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10nF,C_0805_2012Metric,109.8,182.6,180,top
C2,10nF,C_0805_2012Metric,134.4,182.3,0,top
C3,10nF,C_0805_2012Metric,106.6,180,180,top
C4,10nF,C_0805_2012Metric,106.1,182.7,180,top
C5,10nF,C_0805_2012Metric,137.9,182.3,0,top
C6,10nF,C_0805_2012Metric,137.5375,179.7,0,top
C7,470nF,C_0805_2012Metric,141,188.6,0,top
C8,470nF,C_0805_2012Metric,130.7,188.7,0,top
C9,470nF,C_0805_2012Metric,120.9,188.5,180,top
C10,470nF,C_0805_2012Metric,111.3,188.7,0,top
C11,470nF,C_0805_2012Metric,101.7,188.4,0,top
C12,470nF,C_0805_2012Metric,91.5,188.2,0,top
C13,470nF,C_0805_2012Metric,81.9,188.5,0,top
C14,100nF,C_0805_2012Metric,95.2,234.5,0,top
C15,47uF/16V,CP_Elec_5x4.4,102.7,231.6,180,top
C16,100nF,C_0805_2012Metric,109.69,231.38,270,top
C17,470nF,C_0805_2012Metric,151,188.7,0,top
C18,470nF,C_0805_2012Metric,145.39,227.95,180,top
C19,470nF,C_0805_2012Metric,140.2,228.4,0,top
C20,470nF,C_0805_2012Metric,125.7,228,180,top
C21,470nF,C_0805_2012Metric,115.2,228.1,180,top
C22,470nF,C_0805_2012Metric,108.3,227.736,180,top
C23,470nF,C_0805_2012Metric,95.6,227.9,180,top
C24,470nF,C_0805_2012Metric,84.3,228.3,180,top
C25,100nF,C_0805_2012Metric,128.8,233.6,90,top
C26,47uF/16V,CP_Elec_5x4.4,134.08,232.3,0,top
C27,100nF,C_0805_2012Metric,94.8,231.3,270,top
C28,47uF/16V,CP_Elec_5x4.4,89.3,231.3,180,top
C29,10pF,C_0805_2012Metric,142.7,214.7,180,top
C30,22pF,C_0805_2012Metric,135.58,214.43,180,top
C31,47pF,C_0805_2012Metric,125.7,214.52,180,top
C32,100pF,C_0805_2012Metric,115.21,214.33,180,top
C33,220pF,C_0805_2012Metric,105.67,214.42,180,top
C34,470pF,C_0805_2012Metric,95.94,214.57,180,top
C35,1000pF,C_0805_2012Metric,85.79,214.77,180,top
C36,100nF,C_0805_2012Metric,135.2,249.4,0,top
C37,100nF,C_0805_2012Metric,112.7,235.3,180,top
C38,100nF,C_0805_2012Metric,115.3,232.4,180,top
D1,1N5711,D_SOD-123,108.62,177.45,0,top
D2,1N5711,D_SOD-123,136.59,177.24,0,top
Q1,ULN2803ADWR,SOIC-18_W7.5mm,87.3,242.1,180,top
Q2,ULN2803ADWR,SOIC-18_W7.5mm,149.4,240.8,180,top
R1,49.9/1W,R_1812_4532Metric,108.5,173.8,0,top
R2,49.9/1W,R_1812_4532Metric,136.4,173.4,0,top
R3,68k,R_0805_2012Metric,110.4,179.8,180,top
R4,68k,R_0805_2012Metric,133.8,179.7,180,top
R5,34k,R_0805_2012Metric,137.9,184.6,0,top
R6,34k,R_0805_2012Metric,106,185,180,top
R7,10k,R_0805_2012Metric,137.7,245.4875,270,top
R8,10k,R_0805_2012Metric,104.7,258.5,90,top
R9,10k,R_0805_2012Metric,107.4,258.5,90,top
R10,1k,R_0805_2012Metric,117.2875,235,180,top
R11,10k,R_0805_2012Metric,119.5,252.7,270,top
RLY1,G6K-2F-Y,G6K-2F_Cor,137.4,199.2,180,top
RLY2,G6K-2F-Y,G6K-2F_Cor,127.4,199.1,180,top
RLY3,G6K-2F-Y,G6K-2F_Cor,117.5,199.1,180,top
RLY4,G6K-2F-Y,G6K-2F_Cor,107.6,199.1,180,top
RLY5,G6K-2F-Y,G6K-2F_Cor,97.7,199,180,top
RLY6,G6K-2F-Y,G6K-2F_Cor,87.91,198.95,180,top
RLY7,G6K-2F-Y,G6K-2F_Cor,78.3,198.92,180,top
RLY8,G6K-2F-Y,G6K-2F_Cor,147.8,199.2,180,top
RLY9,G6K-2F-Y,G6K-2F_Cor,148.71,217.56,0,top
RLY10,G6K-2F-Y,G6K-2F_Cor,138.71,217.51,0,top
RLY11,G6K-2F-Y,G6K-2F_Cor,128.92,217.51,0,top
RLY12,G6K-2F-Y,G6K-2F_Cor,118.88,217.39,0,top
RLY13,G6K-2F-Y,G6K-2F_Cor,109.04,217.44,0,top
RLY14,G6K-2F-Y,G6K-2F_Cor,99.31,217.34,0,top
RLY15,G6K-2F-Y,G6K-2F_Cor,89.4,217.5,0,top
