Comment,Designator,Footprint,LCSC
47uF/16V,"C15,C26,C28",Capacitor_SMD:CP_Elec_5x4.4,C134798
470nF,"C7,C8,C9,C10,C11,C12,C13,C17,C18,C19,C20,C21,C22,C23,C24",Capacitor_SMD:C_0805_2012Metric,C13967
10pF,C29,Capacitor_SMD:C_0805_2012Metric,C113817
22pF,C30,Capacitor_SMD:C_0805_2012Metric,C113818
47pF,C31,Capacitor_SMD:C_0805_2012Metric,C113821
100pF,C32,Capacitor_SMD:C_0805_2012Metric,C107122
220pF,C33,Capacitor_SMD:C_0805_2012Metric,C113819
470pF,C34,Capacitor_SMD:C_0805_2012Metric,C277525
1000pF,C35,Capacitor_SMD:C_0805_2012Metric,C326940
100nF,"C14,C16,C25,C27,C36,C37,C38",Capacitor_SMD:C_0805_2012Metric,C28233
10nF,"C1,C2,C3,C4,C5,C6",Capacitor_SMD:C_0805_2012Metric,C237168
1N5711,"D1,D2",Diode_SMD:D_SOD-323_HandSoldering,C154843
ULN2803ADWR,"Q1,Q2",digikey-footprints:SOIC-18_W7.5mm,C845537
1k,R10,Resistor_SMD:R_0805_2012Metric,C17513
49.9/1W,"R1,R2",Resistor_SMD:R_1812_4532Metric,C422079
68k,"R3,R4",Resistor_SMD:R_0805_2012Metric,C17801
34k,"R5,R6",Resistor_SMD:R_0805_2012Metric,C228760
10k,"R7,R8,R9,R11",Resistor_SMD:R_0805_2012Metric,C17414
G6K-2F-Y,"RLY1,RLY2,RLY3,RLY4,RLY5,RLY6,RLY7,RLY8,RLY9,RLY10,RLY11,RLY12,RLY13,RLY14,RLY15",G6K_2F:G6K-2F_Cor,C47190
