Comment,Designator,Footprint,LCSC
10uF/16V,C1,Capacitor_SMD:CP_Elec_4x5.3,C2895284
100uF/50V,C3,Capacitor_SMD:CP_Elec_6.3x7.7,C176675
1000uF/16V,C5,Capacitor_SMD:CP_Elec_10x10.5,C134756
100nF,"C2,C4,C6",Capacitor_SMD:C_0805_2012Metric,C28233
SS34,D4,Diode_SMD:D_SMA,C8678
100uH,L1,Inductor_SMD:L_0805_2012Metric,C223143
100uH,L2,ADX_FOOTPRINT_LIBRARY:L_Bourns-SRN8040_8x8.15mm-MOD2,C2962892
10k,R1,Resistor_SMD:R_0805_2012Metric,C17414
4.7k,R2,Resistor_SMD:R_0805_2012Metric,C17673
1k,"R3,R4,R5,R6",Resistor_SMD:R_0805_2012Metric,C17513
LM2576S-5,U2,Package_TO_SOT_SMD:TO-263-5_TabPin3,C347413
